beach,lat,lon,postcode
Yattalunga Baths,-33.4687,151.359,2251
Torakina Beach,-28.538408,153.555074,2483
Taylors Point Baths,-33.634883,151.306718,2107
Fairlight Beach,-33.800731,151.274778,2094
Forty Baskets Pool,-33.803133,151.270604,2093
The Basin,-33.604105,151.293749,2108
North Entrance Beach,-33.334569,151.507287,2261
Canton Beach,-33.27253,151.54407,2263
Lavenders Bridge,-30.45054,152.898835,2454
Hungry Head Beach,-30.522739,153.028284,2455
Evans River,-29.1172,153.4339,2473
Foreshores Beach,-33.957947,151.197963,2019
Mylestom Baths (formerly Mylestom Pool),-30.46722,153.04296,2454
Soldiers Beach,-33.290045,151.567841,2263
Woy Woy Baths,-33.483857,151.326165,2256
Brighton Le Sands Baths,-33.963505,151.157101,2216
Sandringham Baths,-34.000817,151.140753,2219
Lake Munmorah Baths,-33.196008,151.575617,2259
Chain Valley Bay,-33.174778,151.565583,2259
Monterey Baths,-33.975036,151.151707,2217
Yarra Bay,-33.978245,151.228228,2036
The Entrance Beach,-33.34809,151.50333,2261
Frenchmans Bay,-33.987235,151.231264,2036
Ramsgate Baths,-33.985434,151.149199,2217
Shelly Beach (Central Coast),-33.37347,151.48833,2261
Mannering Park Baths,-33.143997,151.536858,2259
North Beach,-30.467876,153.045913,2454
Como Baths,-33.996858,151.070646,2223
Lilli Pilli Baths,-34.069481,151.110795,2229
Gwandalan,-33.138325,151.587494,2259
Dalhousie Creek,-30.523185,153.026334,2455
Jew Fish Bay Baths,-33.98408,151.060023,2223
Carss Point Baths,-33.991315,151.119307,2221
Cabbage Tree Bay Rockpool,-33.278928,151.569532,2263
Urunga Lido,-30.497253,153.024189,2455
Ocean Beach,-33.525137,151.321489,2257
Gymea Bay Baths,-34.04986,151.093246,2227
Pearl Beach Rockpool,-33.545767,151.309198,2256
Gunnamatta Bay Baths,-34.05803,151.14863,2230
Toowoon Bay,-33.36144,151.50041,2261
Kyeemagh Baths,-33.951872,151.165512,2216
Summerland Point Baths (Sandy Beach Reserve),-33.138846,151.556549,2259
The Entrance Ocean Baths,-33.350049,151.50353,2261
Horderns Beach,-34.083401,151.150439,2230
Umina Beach,-33.527822,151.315662,2257
Penrith Beach,-33.694762,150.675921,2749
Jibbon Beach,-34.080661,151.159371,2230
Lakes Beach,-33.254206,151.563358,2262
Arthur Keough Reserve (Never Never River),-30.387369,152.885173,2454
Dolls Point Baths,-33.997622,151.144673,2219
Silver Beach,-34.007342,151.207268,2231
Dudley Beach,-32.974078,151.729925,2290
Burwood North Beach,-32.957057,151.745275,2291
Box Beach,-32.731465,152.182696,2315
Bombo Beach,-34.655327,150.856277,2533
Corrimal Beach,-34.382585,150.916759,2518
Bellambi Beach,-34.363775,150.921371,2518
Shellharbour Beach,-34.572297,150.868308,2529
One Mile Beach,-32.779284,152.116518,2316
Entrance Lagoon Beach,-34.544749,150.870443,2528
Caves Beach,-33.109819,151.647849,2281
Fingal Beach,-32.743489,152.17153,2315
South Stockton Beach,-32.9111,151.788799,2295
Austinmer Beach,-34.306617,150.935548,2515
North Wollongong Beach,-34.414273,150.901964,2500
Port Kembla Beach,-34.492998,150.908698,2505
Fishermans Beach,-34.488283,150.916662,2505
Newcastle Beach,-32.929866,151.787118,2300
Glenrock Lagoon Beach,-32.962518,151.738538,2291
Burwood South Beach,-32.959228,151.742197,2291
Nobbys Beach,-32.923867,151.793333,2300
Werri Beach,-34.742943,150.833446,2534
Zenith Beach,-32.719368,152.184946,2315
Coniston Beach,-34.43673,150.901786,2500
Boyds Jones Beach,-34.63906,150.85601,2533
Thirroul Beach,-34.316363,150.92809,2515
Bar Beach (Newcastle),-32.94211,151.766969,2300
Swansea Heads Little Beach,-33.087507,151.663204,2281
Blacksmiths Beach,-33.080115,151.658277,2281
Bulli Beach,-34.340349,150.925579,2516
Warilla Beach,-34.550129,150.870165,2528
Merewether Beach,-32.948269,151.75767,2300
Wollongong City Beach,-34.423562,150.906887,2500
Woonona Beach,-34.349072,150.921255,2517
Surf Beach Kiama,-34.67616,150.854824,2533
Redhead Beach,-33.015102,151.71899,2290
Great Mackerel Beach,-33.590483,151.301506,2108
Shelley Beach (Moruya Heads),-35.90862,150.156328,2537
Broulee Beach,-35.842773,150.17888,2537
Surf Beach (Surf Beach),-35.758699,150.211296,2536
Narooma Main Beach,-36.224358,150.140633,2546
Caseys Beach,-35.733625,150.207073,2536
Wagonga Inlet,-36.209568,150.131444,2546
Malua Bay Beach,-35.793957,150.230525,2536
Cookies Beach,-35.665021,150.29853,Missing
South Broulee Beach (previously Bengello Beach),-35.858913,150.175892,2537
Brou Beach,-36.16126,150.12598,2546
Tuross Main Beach,-36.064065,150.137862,2537
Coledale Beach,-34.287745,150.949181,2515
Airforce Beach,-29.1034,153.433,2473
Stanwell Park Beach,-34.231267,150.989333,2508
Shark Bay,-29.1142,153.4374,2473
Main Beach (Evans Head),-29.1116,153.4344,2473
Elm Street Bridge North (Evans River),-29.121382,153.431438,2473
Oatley Bay Baths,-33.987645,151.083994,2223
Budgewoi Beach,-33.23868333,151.57025,2262
Forrester's Beach,-33.4139,151.4647,2260
Cabbage Tree Bay,-33.2791,151.5685,2263
Blue Bay,-33.355828,151.501699,2261
Hargraves Beach,-33.26563333,151.5622333,2263
Blue Lagoon,-33.379332,151.486003,2261
Frazer Beach,-33.18751667,151.6232833,2259
Birdie Beach,-33.20566667,151.6068833,2259
Gravelly Beach,-33.285953,151.571413,2263
Lighthouse Beach (Wyong),-33.27998333,151.5728167,2263
The Entrance Channel,-33.345712,151.502609,2261
Bateau Bay Beach,-33.384831,151.483061,2261
Wentworth Falls Lake - Jetty,-33.704703,150.370196,2782
Wentworth Falls Lake - Beach,-33.70259,150.369342,2782
Megalong Creek,-33.732068,150.235487,2785
Yosemite Creek - Minnehaha Falls,-33.67913985,150.3273489,2780
Shaws Bay West,-28.86543333,153.5826,2478
Shaws Bay East,-28.865233,153.584662,2478
Seven Mile Beach (Lennox Head),-28.785205,153.594562,2478
Lighthouse Beach (Ballina),-28.86873333,153.59225,2478
Lake Ainsworth North,-28.779833,153.592649,2478
Shaws Bay East Beach,-28.866472,153.584141,2478
Shaws Bay East Arm,-28.870534,153.583826,2478
Shaws Bay North,-28.864743,153.585747,2478
Missingham Beach,-28.871774,153.573781,2478
The Serpentine,-28.86726667,153.57742,2478
Lake Ainsworth East,-28.7832,153.5929,2478
Shelly Beach (Ballina),-28.86441667,153.59421,2478
Lake Ainsworth South,-28.784633,153.593218,2478
Lake Ainsworth West,-28.784979,153.59077,2478
Shoalhaven Heads Beach,-34.851023,150.750231,2535
Racecourse Beach,-35.379126,150.463413,2539
Cudmirrah Beach,-35.189293,150.583306,2540
Tilbury Cove,-34.930833,150.772608,2540
Mollymook Beach,-35.338444,150.474615,2539
Rennies Beach,-35.368093,150.479441,2539
Warrain Beach,-34.933961,150.7797755,2540
Bawley Point Beach,-35.50462,150.39229,2539
Collingwood Beach,-35.061805,150.674626,2540
Merry Beach,-35.564567,150.375469,2539
Pearl Beach,-33.5452,151.3081,2256
Seven Mile Beach (Gerroa),-34.77438,150.80882,2534
Bar Beach (Merimbula),-36.895613,149.924017,2548
Summerland Point (Summerland Point Reserve),-33.13563333,151.56525,2259
Jenny Dixon Beach,-33.27163333,151.5636667,2263
Park Beach,-30.294522,153.140562,2450
Jetty Beach (Coffs Harbour),-30.303866,153.142304,2450
Safety Beach,-30.094545,153.20141,2456
Woolgoolga Main Beach,-30.109457,153.20317,2456
Sawtell Beach,-30.368466,153.102985,2452
Emerald Beach,-30.170578,153.190462,2456
Sawtell Rock Pool,-30.376667,153.101496,2452
Diggers Beach,-30.276027,153.144002,2450
Dutchmans Beach,-32.7195,152.1336,2315
Karuah Tidal Pool,-32.6555,151.9679,2324
Bagnalls Beach,-32.7176,152.1186,2315
Little Beach,-32.7134,152.1568,2315
Georges Reserve (Wanda Beach),-32.7151,152.0744,2317
Birubi Beach (Anna Bay),-32.7176,152.0403,2317
Lemon Tree Passage Tidal Pool,-32.7303,152.0403,2319
Bruce Steer Pool,-36.424287,150.073385,2546
Tathra Beach,-36.72691,149.983172,2550
Main Beach (Merimbula),-36.899204,149.914199,2548
Big Blue Pool,-36.429513,150.084249,2546
Beares Beach,-36.43309,150.07865,2546
Camel Rock Beach,-36.380193,150.076389,Missing
Mogareeka Inlet (Formerly Boat Ramp),-36.700705,149.976703,Missing
Cocora Beach,-37.072101,149.897401,2551
Short Point Beach,-36.882577,149.929935,2548
Horseshoe Bay (Bermagui),-36.425323,150.078304,2546
Pambula River Mouth,-36.947582,149.914378,2549
Mogareeka Lions Park,-36.703132,149.989125,Missing
Pambula Beach,-36.9407,149.9099,2549
Aslings Beach,-37.0568,149.9127,2551
Sunshine,-33.112635,151.566157,2264
Catherine Hill Bay,-33.157528,151.629882,2281
Balcolyn,-33.0899,151.5486,2264
Belmont,-33.035674,151.656859,2280
Toronto,-33.014261,151.598878,2283
Arcadia Vale,-33.061982,151.587285,2283
Speers Point Park,-32.963685,151.618374,2284
Croudace Bay,-33.003815,151.640517,2280
Eleebana (Lions Park),-32.9887,151.6361,2282
Bolton Point,-32.998383,151.609282,2283
Swansea,-33.071476,151.633229,2281
Kilaben Bay,-33.026685,151.593057,2283
Cams Wharf,-33.071476,151.633229,2281
Wangi Point (Van Park),-33.073807,151.61025,2267
Henley Baths (Kelly Street Baths),-33.84353,151.1317,2046
Ettalong Channel,-33.5163,151.3355,2257
Patonga Creek,-33.55423,151.267303,2256
