109,Brighton Le Sands Baths,-33.963505,151.157101,2216
110,Sandringham Baths,-34.000817,151.140753,2219
111,Lake Munmorah Baths,-33.196008,151.575617,2259
112,Chain Valley Bay,-33.174778,151.565583,2259
113,Monterey Baths,-33.975036,151.151707,2217
114,Yarra Bay,-33.978245,151.228228,2036
115,The Entrance Beach,-33.34809,151.50333,2261
116,Frenchmans Bay,-33.987235,151.231264,2036
117,Ramsgate Baths,-33.985434,151.149199,2217
118,Shelly Beach (Central Coast),-33.37347,151.48833,2261
119,Mannering Park Baths,-33.143997,151.536858,2259
120,North Beach,-30.467876,153.045913,2454
121,Como Baths,-33.996858,151.070646,2223
122,Lilli Pilli Baths,-34.069481,151.110795,2229
123,Gwandalan,-33.138325,151.587494,2259
124,Dalhousie Creek,-30.523185,153.026334,2455
125,Jew Fish Bay Baths,-33.98408,151.060023,2223
126,Carss Point Baths,-33.991315,151.119307,2221
127,Cabbage Tree Bay Rockpool,-33.278928,151.569532,2263
128,Urunga Lido,-30.497253,153.024189,2455
129,Ocean Beach,-33.525137,151.321489,2257
130,Gymea Bay Baths,-34.04986,151.093246,2227
131,Pearl Beach Rockpool,-33.545767,151.309198,2256
132,Gunnamatta Bay Baths,-34.05803,151.14863,2230
133,Toowoon Bay,-33.36144,151.50041,2261
134,Kyeemagh Baths,-33.951872,151.165512,2216
135,Summerland Point Baths (Sandy Beach Reserve),-33.138846,151.556549,2259
136,The Entrance Ocean Baths,-33.350049,151.50353,2261
137,Horderns Beach,-34.083401,151.150439,2230
138,Umina Beach,-33.527822,151.315662,2257
139,Penrith Beach,-33.694762,150.675921,2749
140,Jibbon Beach,-34.080661,151.159371,2230
141,Lakes Beach,-33.254206,151.563358,2262
142,Arthur Keough Reserve (Never Never River),-30.387369,152.885173,2454
143,Dolls Point Baths,-33.997622,151.144673,2219
144,Silver Beach,-34.007342,151.207268,2231
145,Dudley Beach,-32.974078,151.729925,2290
146,Burwood North Beach,-32.957057,151.745275,2291
147,Box Beach,-32.731465,152.182696,2315
148,Bombo Beach,-34.655327,150.856277,2533
149,Corrimal Beach,-34.382585,150.916759,2518
150,Bellambi Beach,-34.363775,150.921371,2518
151,Shellharbour Beach,-34.572297,150.868308,2529
152,One Mile Beach,-32.779284,152.116518,2316
153,Entrance Lagoon Beach,-34.544749,150.870443,2528
154,Caves Beach,-33.109819,151.647849,2281
155,Fingal Beach,-32.743489,152.17153,2315
156,South Stockton Beach,-32.9111,151.788799,2295
157,Austinmer Beach,-34.306617,150.935548,2515
158,North Wollongong Beach,-34.414273,150.901964,2500
159,Port Kembla Beach,-34.492998,150.908698,2505
160,Fishermans Beach,-34.488283,150.916662,2505
161,Newcastle Beach,-32.929866,151.787118,2300
162,Glenrock Lagoon Beach,-32.962518,151.738538,2291
163,Burwood South Beach,-32.959228,151.742197,2291
164,Nobbys Beach,-32.923867,151.793333,2300
165,Werri Beach,-34.742943,150.833446,2534
166,Zenith Beach,-32.719368,152.184946,2315
167,Coniston Beach,-34.43673,150.901786,2500
168,Boyds Jones Beach,-34.63906,150.85601,2533
169,Thirroul Beach,-34.316363,150.92809,2515
170,Bar Beach (Newcastle),-32.94211,151.766969,2300
171,Swansea Heads Little Beach,-33.087507,151.663204,2281
172,Blacksmiths Beach,-33.080115,151.658277,2281
173,Bulli Beach,-34.340349,150.925579,2516
174,Warilla Beach,-34.550129,150.870165,2528
175,Merewether Beach,-32.948269,151.75767,2300
176,Wollongong City Beach,-34.423562,150.906887,2500
177,Woonona Beach,-34.349072,150.921255,2517
178,Surf Beach Kiama,-34.67616,150.854824,2533
179,Redhead Beach,-33.015102,151.71899,2290
180,Great Mackerel Beach,-33.590483,151.301506,2108
181,Shelley Beach (Moruya Heads),-35.90862,150.156328,2537
182,Broulee Beach,-35.842773,150.17888,2537
183,Surf Beach (Surf Beach),-35.758699,150.211296,2536
184,Narooma Main Beach,-36.224358,150.140633,2546
185,Caseys Beach,-35.733625,150.207073,2536
186,Wagonga Inlet,-36.209568,150.131444,2546
187,Malua Bay Beach,-35.793957,150.230525,2536
188,Cookies Beach,-35.665021,150.29853,2536
189,South Broulee Beach (previously Bengello Beach),-35.858913,150.175892,2537
190,Brou Beach,-36.16126,150.12598,2546
191,Tuross Main Beach,-36.064065,150.137862,2537
192,Coledale Beach,-34.287745,150.949181,2515
193,Airforce Beach,-29.1034,153.433,2473
194,Stanwell Park Beach,-34.231267,150.989333,2508
195,Shark Bay,-29.1142,153.4374,2473
196,Main Beach (Evans Head),-29.1116,153.4344,2473
197,Elm Street Bridge North (Evans River),-29.121382,153.431438,2473
198,Oatley Bay Baths,-33.987645,151.083994,2223
199,Budgewoi Beach,-33.23868333,151.57025,2262
200,Forrester's Beach,-33.4139,151.4647,2260
201,Cabbage Tree Bay,-33.2791,151.5685,2263
202,Blue Bay,-33.355828,151.501699,2261
203,Hargraves Beach,-33.26563333,151.5622333,2263
204,Blue Lagoon,-33.379332,151.486003,2261
205,Frazer Beach,-33.18751667,151.6232833,2259
206,Birdie Beach,-33.20566667,151.6068833,2259
207,Gravelly Beach,-33.285953,151.571413,2263
208,Lighthouse Beach (Wyong),-33.27998333,151.5728167,2263
209,The Entrance Channel,-33.345712,151.502609,2261
210,Bateau Bay Beach,-33.384831,151.483061,2261
211,Wentworth Falls Lake - Jetty,-33.704703,150.370196,2782
212,Wentworth Falls Lake - Beach,-33.70259,150.369342,2782
213,Megalong Creek,-33.732068,150.235487,2785
214,Yosemite Creek - Minnehaha Falls,-33.67913985,150.3273489,2780
215,Shaws Bay West,-28.86543333,153.5826,2478
216,Shaws Bay East,-28.865233,153.584662,2478
217,Seven Mile Beach (Lennox Head),-28.785205,153.594562,2478
218,Lighthouse Beach (Ballina),-28.86873333,153.59225,2478
219,Lake Ainsworth North,-28.779833,153.592649,2478
220,Shaws Bay East Beach,-28.866472,153.584141,2478
221,Shaws Bay East Arm,-28.870534,153.583826,2478
222,Shaws Bay North,-28.864743,153.585747,2478
223,Missingham Beach,-28.871774,153.573781,2478
224,The Serpentine,-28.86726667,153.57742,2478
225,Lake Ainsworth East,-28.7832,153.5929,2478
226,Shelly Beach (Ballina),-28.86441667,153.59421,2478
227,Lake Ainsworth South,-28.784633,153.593218,2478
228,Lake Ainsworth West,-28.784979,153.59077,2478
229,Shoalhaven Heads Beach,-34.851023,150.750231,2535
230,Racecourse Beach,-35.379126,150.463413,2539
231,Cudmirrah Beach,-35.189293,150.583306,2540
232,Tilbury Cove,-34.930833,150.772608,2540
233,Mollymook Beach,-35.338444,150.474615,2539
234,Rennies Beach,-35.368093,150.479441,2539
235,Warrain Beach,-34.933961,150.7797755,2540
236,Bawley Point Beach,-35.50462,150.39229,2539
237,Collingwood Beach,-35.061805,150.674626,2540
238,Merry Beach,-35.564567,150.375469,2539
239,Pearl Beach,-33.5452,151.3081,2256
240,Seven Mile Beach (Gerroa),-34.77438,150.80882,2534
241,Bar Beach (Merimbula),-36.895613,149.924017,2548
242,Summerland Point (Summerland Point Reserve),-33.13563333,151.56525,2259
243,Jenny Dixon Beach,-33.27163333,151.5636667,2263
244,Park Beach,-30.294522,153.140562,2450
245,Jetty Beach (Coffs Harbour),-30.303866,153.142304,2450
246,Safety Beach,-30.094545,153.20141,2456
247,Woolgoolga Main Beach,-30.109457,153.20317,2456
248,Sawtell Beach,-30.368466,153.102985,2452
249,Emerald Beach,-30.170578,153.190462,2456
250,Sawtell Rock Pool,-30.376667,153.101496,2452
251,Diggers Beach,-30.276027,153.144002,2450
252,Dutchmans Beach,-32.7195,152.1336,2315
253,Karuah Tidal Pool,-32.6555,151.9679,2324
254,Bagnalls Beach,-32.7176,152.1186,2315
255,Little Beach,-32.7134,152.1568,2315
256,Georges Reserve (Wanda Beach),-32.7151,152.0744,2317
257,Birubi Beach (Anna Bay),-32.7176,152.0403,2317
258,Lemon Tree Passage Tidal Pool,-32.7303,152.0403,2319
259,Bruce Steer Pool,-36.424287,150.073385,2546
260,Tathra Beach,-36.72691,149.983172,2550
261,Main Beach (Merimbula),-36.899204,149.914199,2548
262,Big Blue Pool,-36.429513,150.084249,2546
263,Beares Beach,-36.43309,150.07865,2546
264,Camel Rock Beach,-36.380193,150.076389,2546
265,Mogareeka Inlet (Formerly Boat Ramp),-36.700705,149.976703,2550
266,Cocora Beach,-37.072101,149.897401,2551
267,Short Point Beach,-36.882577,149.929935,2548
